Date,PFE,PFEReturns,LogMethod,rF,DJIA,DJIAReturns
1/25/2021,37.279999,0.08%,0.000804451,0.09,30960,-0.000742152
1/26/2021,37.310001,-2.95%,-0.029097878,0.09,30937.04,-0.020917614
1/27/2021,36.240002,-1.06%,-0.01054104,0.09,30303.17,0.009809054
1/28/2021,35.860001,0.11%,0.001114855,0.08,30603.36,-0.020703327
1/29/2021,35.900002,-0.28%,-0.002789486,0.07,29982.62,0.007589391
2/1/2021,35.799999,-2.31%,-0.022885502,0.08,30211.91,0.0154972
2/2/2021,34.990002,-0.43%,-0.004296212,0.08,30687.48,0.001175643
2/3/2021,34.84,0.14%,0.001434075,0.06,30723.6,0.010698786
2/4/2021,34.889999,0.09%,0.000859447,0.06,31055.86,0.002965818
2/5/2021,34.919998,-0.29%,-0.002867739,0.05,31148.24,0.007567763
2/8/2021,34.82,0.43%,0.004298645,0.05,31385.76,-0.000316486
2/9/2021,34.970001,-0.66%,-0.006598761,0.06,31375.83,0.001971194
2/10/2021,34.740002,-0.90%,-0.008963541,0.06,31437.8,-0.000225894
2/11/2021,34.43,0.84%,0.008387641,0.06,31430.7,0.000880528
2/12/2021,34.720001,-0.09%,-0.000864486,0.05,31458.4,0.002041383
2/16/2021,34.689999,0.57%,0.005748794,0.06,31522.75,0.002855469
2/17/2021,34.889999,-0.95%,-0.009503254,0.06,31613.02,-0.003800169
2/18/2021,34.560001,-0.35%,-0.003478322,0.04,31493.34,3.11167E-05
2/19/2021,34.439999,-0.53%,-0.005240216,0.06,31494.32,0.000868291
2/22/2021,34.259998,-1.03%,-0.010268478,0.04,31521.69,0.000496554
2/23/2021,33.91,-0.47%,-0.004729539,0.05,31537.35,0.013281768
2/24/2021,33.75,0.21%,0.002071926,0.05,31961.86,-0.017828477
2/25/2021,33.82,-0.99%,-0.009805397,0.06,31402.01,-0.0151828
2/26/2021,33.490002,0.59%,0.005954081,0.05,30932.37,0.019125741
3/1/2021,33.689999,-0.54%,-0.005357186,0.07,31535.51,-0.004586908
3/2/2021,33.509998,2.56%,0.025921953,0.06,31391.52,-0.003883264
3/3/2021,34.389999,-0.56%,-0.005540122,0.07,31270.09,-0.011187053
3/4/2021,34.200001,0.55%,0.005540122,0.07,30924.14,0.018165943
3/5/2021,34.389999,-0.12%,-0.001163835,0.07,31496.3,0.009626305
3/8/2021,34.349998,0.29%,0.002907066,0.06,31802.44,0.00095185
3/9/2021,34.450001,1.37%,0.013837032,0.07,31832.74,0.01437532
3/10/2021,34.93,-0.63%,-0.006318258,0.06,32297.02,0.005804728
3/11/2021,34.709999,0.66%,0.006604475,0.05,32485.59,0.008940273
3/12/2021,34.939999,1.33%,0.01336199,0.06,32778.64,0.005305057
3/15/2021,35.41,1.17%,0.011791321,0.06,32953.46,-0.003884427
3/16/2021,35.830002,-0.11%,-0.001117034,0.06,32825.95,0.005737328
3/17/2021,35.790001,-0.06%,-0.000558999,0.05,33015.37,-0.004657921
3/18/2021,35.77,-0.68%,-0.006732171,0.03,32862.3,-0.007181875
3/19/2021,35.529999,1.31%,0.013141557,0.03,32627.97,0.003153872
3/22/2021,36,-1.81%,-0.017937672,0.05,32731.2,-0.009500928
3/23/2021,35.360001,0.70%,0.007045259,0.04,32423.15,-9.53114E-05
3/24/2021,35.610001,0.17%,0.001683418,0.04,32420.06,0.006113525
3/25/2021,35.669998,1.60%,0.016129438,0.04,32619.48,0.013709118
3/26/2021,36.25,1.01%,0.010155131,0.04,33072.88,0.002969127
